,POS,TEAM,GP,W,D,L,GF,GA,GD,PTS
0,1,Manchester City,16,14,1,1,54,16,+38,43
1,2,Arsenal,16,12,3,1,45,21,+24,39
2,3,Manchester Utd,16,12,3,1,28,8,+20,39
3,4,Liverpool,16,11,4,1,43,16,+27,37
4,5,Newcastle Utd,16,10,5,1,32,11,+21,35
5,6,Tottenham,17,11,1,5,35,22,+13,34
6,7,Aston Villa,17,10,2,5,29,19,+10,32
7,8,Brentford,17,8,7,2,32,18,+14,31
8,9,Brighton,15,8,3,4,31,14,+17,27
9,10,Wolverhampton,17,8,2,7,17,19,-2,26
10,11,Fulham,17,7,4,6,24,24,0,25
11,12,Nottm Forest,17,6,6,5,22,21,+1,24
12,13,Crystal Palace,17,6,6,5,18,22,-4,24
13,14,Chelsea,17,6,5,6,17,16,+1,23
14,15,West Ham Utd,17,6,4,7,22,23,-1,22
15,16,Bournemouth,17,6,4,7,19,24,-5,22
16,17,Leeds Utd,17,5,6,6,23,31,-8,21
17,18,Everton,17,5,3,9,15,24,-9,18
18,19,Leicester City,16,4,3,9,19,21,-2,15
19,20,Southampton,17,2,4,11,15,31,-16,10
